Document Number,Posting Date,Entry Date,Fiscal Period,Amount,Currency,G/L Account,Cost Center,Profit Center,Reference,Document Text,User Name,D/C,Company Code,Vendor,Customer
1800000001,01.03.2025,01.03.2025,003,15000.00,EUR,400000,KST-PROD-01,PC-MFG,INV-2025-0301,Raw material purchase,JMUELLER,S,1010,V-10023,
1800000002,01.03.2025,01.03.2025,003,15000.00,EUR,400000,KST-PROD-01,PC-MFG,INV-2025-0301,Raw material purchase,JMUELLER,S,1010,V-10023,
1800000003,03.03.2025,03.03.2025,003,8750.50,EUR,403000,KST-PROD-02,PC-MFG,INV-2025-0312,Packaging materials,HSCHMIDT,S,1010,V-10045,
1800000004,05.03.2025,05.03.2025,003,3200.00,EUR,620000,KST-ADMIN,PC-ADM,INV-2025-0320,Office supplies,AWEISS,S,1010,V-10067,
1800000005,05.03.2025,05.03.2025,003,3200.00,EUR,620000,KST-ADMIN,PC-ADM,INV-2025-0321,Office supplies,AWEISS,S,1010,V-10067,
1800000006,10.03.2025,10.03.2025,003,22500.00,EUR,430000,KST-MKTG,PC-MKT,,Marketing agency fee Q1,BKOCH,S,1010,V-10089,
1800000007,12.03.2025,10.03.2025,003,5600.00,EUR,470000,KST-PROD-01,PC-MFG,INV-2025-0345,Equipment maintenance,JMUELLER,S,1010,V-10023,
1800000008,15.03.2025,15.03.2025,003,1200.00,EUR,430000,KST-PROD-01,PC-MFG,INV-2025-0360,Marketing brochures production,HSCHMIDT,S,1010,V-10102,
1800000009,20.03.2025,20.03.2025,003,45000.00,EUR,191100,,,GR-2025-0089,GR material batch A,LBRAUN,S,1010,,
1800000010,20.03.2025,20.03.2025,003,-45000.00,EUR,191100,,,IR-2025-0089,IR invoice batch A,LBRAUN,H,1010,,
1800000011,28.03.2025,28.03.2025,003,50000.00,EUR,480000,KST-MGMT,PC-ADM,,Accrual Q1 consulting,RHOFER,S,1010,,
1800000012,29.03.2025,29.03.2025,003,30000.00,EUR,481000,KST-PROD-01,PC-MFG,,Production accrual March,RHOFER,S,1010,,
1800000013,29.03.2025,29.03.2025,003,10000.00,EUR,410000,KST-ADMIN,PC-ADM,,Office rent March accrual,RHOFER,S,1010,,
1800000014,30.03.2025,30.03.2025,003,75000.00,EUR,100000,,,PAY-2025-033,Salary payment March,HRUSER,S,1010,,
1800000015,01.03.2025,30.03.2025,003,4500.00,EUR,470000,KST-IT,PC-ADM,INV-2025-0290,Server maintenance Jan,JMUELLER,S,1010,V-10023,
1800000016,15.03.2025,15.03.2025,003,185000.50,EUR,182000,,,,IC posting to subsidiary,KFISCHER,S,1010,,
1800000017,18.03.2025,18.03.2025,003,9999.99,EUR,620000,KST-ADMIN,PC-ADM,INV-2025-0399,Consulting services,AWEISS,S,1010,V-10200,
1800000018,22.03.2025,22.03.2025,003,9999.99,EUR,620000,KST-ADMIN,PC-ADM,INV-2025-0400,Consulting services,AWEISS,S,1010,V-10200,
1800000019,25.03.2025,25.03.2025,003,12000.00,EUR,600000,KST-IT,PC-ADM,INV-2025-0410,Cloud infrastructure Q1,JMUELLER,S,1010,V-10023,
1800000020,27.03.2025,27.03.2025,003,6800.00,EUR,430000,KST-IT,PC-ADM,INV-2025-0422,IT newsletter campaign,HSCHMIDT,S,1010,V-10089,
1800000021,28.03.2025,28.03.2025,003,100000.00,EUR,489000,KST-PROD-02,PC-MFG,,Year-end accrual production,RHOFER,S,1010,,
1800000022,01.03.2025,01.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0301,Sales travel expenses,MWAGNER,S,1010,,
1800000023,05.03.2025,05.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0312,Sales travel expenses,MWAGNER,S,1010,,
1800000024,08.03.2025,08.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0323,Sales travel expenses,MWAGNER,S,1010,,
1800000025,12.03.2025,12.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0334,Sales travel expenses,MWAGNER,S,1010,,
1800000026,15.03.2025,15.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0345,Sales travel expenses,MWAGNER,S,1010,,
1800000027,18.03.2025,18.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0356,Sales travel expenses,MWAGNER,S,1010,,
1800000028,22.03.2025,22.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0367,Sales travel expenses,MWAGNER,S,1010,,
1800000029,25.03.2025,25.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0378,Sales travel expenses,MWAGNER,S,1010,,
1800000030,28.03.2025,28.03.2025,003,2300.00,EUR,610000,KST-SALES,PC-SLS,INV-2025-0389,Sales travel expenses,MWAGNER,S,1010,,
1800000031,30.03.2025,30.03.2025,003,250000.00,EUR,170000,,,TRF-2025-031,Interbank transfer,JMUELLER,S,1010,,
1800000032,15.01.2025,30.03.2025,003,18500.00,EUR,500000,KST-PROD-01,PC-MFG,INV-2025-0100,Backdated goods receipt,LBRAUN,S,1010,V-10023,
