category,language,level,prompt
Marketing,en,basic,"Write a short product description for {product} aimed at {audience} in a {tone} tone."
Marketing,en,pro,"Create a 3‑section landing page outline for {product} targeting {audience}. Include hero, benefits, and CTA."
Marketing,es,basic,"Escribe una breve descripción de {product} para {audience} con tono {tone}."
Marketing,es,pro,"Crea un esquema de landing de 3 secciones para {product} dirigido a {audience}. Incluye hero, beneficios y CTA."
Sales,en,basic,"Draft a first‑touch sales email for {product} to {audience}."
Sales,en,pro,"Create a 3‑email outreach sequence for {product} with subject lines and follow‑ups."
Sales,es,basic,"Redacta un email de primer contacto para {product} dirigido a {audience}."
Sales,es,pro,"Crea una secuencia de 3 emails para {product} con asuntos y follow‑ups."
Development,en,basic,"Explain how to implement {feature} in {language} with a short example."
Development,en,pro,"Design a robust architecture for {app} including auth, storage, and deployment."
Development,es,basic,"Explica cómo implementar {feature} en {language} con un ejemplo corto."
Development,es,pro,"Diseña una arquitectura robusta para {app} incluyendo auth, storage y despliegue."
Design,en,basic,"Suggest a color palette for {brand} with 5 hex codes."
Design,en,pro,"Create a UI style guide for {product} (colors, typography, spacing, components)."
Design,es,basic,"Sugiere una paleta para {brand} con 5 códigos hex."
Design,es,pro,"Crea una guía de estilo UI para {product} (colores, tipografía, espaciado, componentes)."
SEO,en,basic,"Write a meta title and meta description for {page} targeting {keyword}."
SEO,en,pro,"Build an SEO content outline for {topic} with headings and search intent."
SEO,es,basic,"Escribe un meta título y meta descripción para {page} orientado a {keyword}."
SEO,es,pro,"Crea un outline SEO para {topic} con headings e intención de búsqueda."
Productivity,en,basic,"Summarize this text into 5 bullet points: {text}."
Productivity,en,pro,"Turn these notes into an action plan with owners and due dates: {notes}."
Productivity,es,basic,"Resume este texto en 5 bullets: {text}."
Productivity,es,pro,"Convierte estas notas en un plan de acción con responsables y fechas: {notes}."
HR,en,basic,"Draft a job description for {role} with key responsibilities."
HR,en,pro,"Create an interview question set for {role} focused on {skills}."
HR,es,basic,"Redacta una descripción de puesto para {role} con responsabilidades clave."
HR,es,pro,"Crea un set de preguntas de entrevista para {role} enfocadas en {skills}."
Finance,en,basic,"Summarize the key points from this report: {report}."
Finance,en,pro,"Create a monthly budget plan for {business} including revenue, costs, and targets."
Finance,es,basic,"Resume los puntos clave de este informe: {report}."
Finance,es,pro,"Crea un plan de presupuesto mensual para {business} con ingresos, costos y objetivos."
