source,target,relationship,timestamp
1,2,MENTIONED,2026-01-30T10:00:00Z
2,3,FOLLOWS,2026-01-29T15:30:00Z
1,3,RETWEETED,2026-01-30T11:15:00Z
4,1,MENTIONED,2026-01-30T09:45:00Z
4,2,MENTIONED,2026-01-30T10:30:00Z
5,1,MENTIONED,2026-01-30T12:00:00Z
5,2,MENTIONED,2026-01-30T12:15:00Z
6,1,MENTIONED,2026-01-30T13:00:00Z
7,5,PROMOTES,2026-01-30T08:00:00Z
8,1,ANALYZED,2026-01-31T09:00:00Z
8,10,INVESTIGATED,2026-01-31T10:30:00Z
9,10,FLAGGED,2026-01-31T11:00:00Z
3,10,CONNECTED_TO,2026-01-28T14:20:00Z
2,10,CONNECTED_TO,2026-01-28T15:45:00Z
