id,name,category,description,scale,effort,impact_type,example,trigger_question
1,Platform Play,massive,Turn your tool into a platform that enables third-party extensions and plugins,massive,high,revenue,Shopify App Store turning an e-commerce tool into an ecosystem,What would make this a platform instead of a tool?
2,AI Integration,massive,Add intelligent automation prediction and generation capabilities powered by machine learning,massive,high,retention,Gmail Smart Compose predicting what you want to type next,What could be smarter?
3,Marketplace,massive,Connect users to each other to create powerful network effects and two-sided value,massive,high,acquisition,Airbnb connecting hosts and travelers creating exponential growth,What would make users bring their team/friends/family?
4,Real-time Collaboration,massive,Enable multiple users to simultaneously edit and work together in the same space,massive,high,retention,Google Docs multi-cursor real-time collaborative editing,How do users work together?
5,Mobile-First Rewrite,massive,Build a native mobile experience from the ground up rather than adapting desktop,massive,high,acquisition,Instagram building mobile-first then expanding to desktop,Who can't use this yet?
6,API Economy,massive,Become infrastructure that others build upon exposing your core value as programmable endpoints,massive,high,revenue,Stripe making payments a simple API call for any developer,What would make this a platform instead of a tool?
7,Data Moat,massive,Accumulate unique proprietary data that improves the product with every user interaction,massive,high,retention,Waze getting better at traffic prediction with every driver added,What's the feature that would make competitors nervous?
8,White-Label/Embeddable,massive,Let other businesses embed your product into their own offerings under their brand,massive,high,revenue,Plaid embedding bank connections into thousands of fintech apps,What adjacent problem could we solve that would make this indispensable?
9,Vertical Integration,massive,Own the entire workflow end-to-end eliminating the need to switch between tools,massive,high,retention,Figma handling design prototyping handoff and dev mode in one tool,What adjacent problem could we solve that would make this indispensable?
10,Community Platform,massive,Enable user-generated content peer support and organic community growth,massive,high,acquisition,Stack Overflow turning Q&A into a self-sustaining knowledge community,What would make users bring their team/friends/family?
11,Enterprise Features,massive,Add SSO audit logs compliance controls and team management for organizational buyers,massive,high,revenue,Slack adding Enterprise Grid with SSO SCIM and compliance to unlock Fortune 500 deals,What would make this a platform instead of a tool?
12,Internationalization,massive,Support multi-language multi-currency and regional compliance for global reach,massive,high,acquisition,Spotify launching in 180+ markets with localized content and payments,Who can't use this yet?
13,Offline-First,massive,Enable full functionality without internet connection with smart sync when reconnected,massive,high,retention,Notion offline mode letting users work anywhere then syncing seamlessly,Who can't use this yet?
14,Voice/Conversational UI,massive,Add natural language interface so users can speak or type commands conversationally,massive,high,engagement,Alexa enabling voice-first interaction for smart home control,What could be smarter?
15,Predictive Analytics,massive,Anticipate user needs before they ask by analyzing patterns and surfacing insights proactively,massive,high,retention,Netflix recommendations predicting what you want to watch before you search,What data do we have that we're not using?
16,Smart Defaults,medium,Pre-configure settings and options based on user type industry or behavior patterns,medium,medium,engagement,Notion templates auto-populating workspace structure for different team types,What's repetitive?
17,Workflow Automation,medium,Automate repetitive multi-step processes with triggers conditions and actions,medium,medium,efficiency,Zapier-style automation rules that run when specific conditions are met,What workflow is painful that we could automate?
18,Integration Hub,medium,Connect to 50+ tools and services that users already rely on daily,medium,medium,retention,HubSpot marketplace connecting to every CRM email and analytics tool,What else do users use?
19,Templates Library,medium,Pre-built starting points for common use cases so users never start from blank,medium,medium,acquisition,Canva offering thousands of design templates for every occasion,What would make the core action 10x faster/easier?
20,Advanced Search,medium,Semantic filtered and saved search capabilities across all content and data,medium,medium,engagement,Algolia-powered instant search with facets typo-tolerance and saved queries,What information is users hunting for that we could surface?
21,Bulk Operations,medium,Batch processing and mass actions for power users managing large datasets,medium,medium,efficiency,Airtable bulk record updates with find-and-replace across thousands of rows,What would turn casual users into power users?
22,Custom Dashboards,medium,Personalized views with drag-and-drop widgets showing each user's key metrics,medium,medium,engagement,Datadog custom dashboards letting each team build their own monitoring view,How is everyone different?
23,Notification Intelligence,medium,Smart contextual and actionable notifications that respect attention and reduce noise,medium,medium,retention,Linear sending digest notifications grouped by project with direct action buttons,What creates anxiety?
24,Import/Export,medium,Seamless data portability making it easy to bring data in and take it out,medium,medium,acquisition,Airtable CSV JSON and API import/export making migration painless,What would make the core action 10x faster/easier?
25,Audit Trail,medium,Complete immutable history of all changes with who-what-when visibility,medium,medium,retention,GitHub commit history showing every change by every contributor over time,What creates anxiety?
26,Role-Based Access,medium,Granular permissions letting admins control exactly who can see and do what,medium,medium,revenue,AWS IAM policies enabling fine-grained access control per resource per action,What would turn casual users into power users?
27,Webhooks,medium,Real-time event notifications enabling developers to build custom integrations,medium,medium,retention,GitHub webhooks triggering CI/CD pipelines on every push automatically,What else do users use?
28,Keyboard Shortcuts,medium,Comprehensive keyboard shortcuts enabling power users to work without touching the mouse,medium,low,efficiency,VS Code command palette and shortcuts making every action keyboard-accessible,What would turn casual users into power users?
29,Dark Mode,medium,Full dark theme support for accessibility preference and reduced eye strain,medium,low,retention,Slack dark mode reducing eye strain for users who live in the app all day,How is everyone different?
30,Progressive Disclosure,medium,Show simplicity by default with complexity available on demand for advanced users,medium,medium,engagement,GitHub showing simple file view by default with blame history and raw options,How is everyone different?
31,Status Indicators,small,At-a-glance visual indicators showing system health task state or user availability,small,low,engagement,Slack green dot showing who's online making collaboration decisions instant,What anxiety do users have that we could eliminate with one indicator?
32,Quick Actions,small,One-click buttons for the most common operations reducing multi-step flows to single taps,small,low,efficiency,Gmail archive button turning a 3-click operation into one click,What single button/shortcut would save users minutes daily?
33,Smart Suggestions,small,Context-aware recommendations based on current user activity and history,small,low,engagement,Google Search autocomplete suggesting queries as you type saving keystrokes,What information is users hunting for that we could surface?
34,Undo/Redo,small,Universal undo/redo enabling safe exploration without fear of breaking things,small,low,retention,Google Docs Ctrl+Z working across all actions giving users confidence to experiment,What creates anxiety?
35,Drag-and-Drop,small,Intuitive drag-and-drop for reordering organizing and moving items spatially,small,low,engagement,Trello card dragging making project management feel physical and intuitive,What single button/shortcut would save users minutes daily?
36,Copy to Clipboard,small,One-click copy for values links codes and snippets that users need to share,small,low,efficiency,GitHub one-click clone URL copy saving developers a highlight-right-click-copy flow,What single button/shortcut would save users minutes daily?
37,Breadcrumbs,small,Navigation breadcrumbs so users always know where they are and how to go back,small,low,engagement,AWS Console breadcrumbs preventing users from getting lost in deep service hierarchies,What information is users hunting for that we could surface?
38,Inline Editing,small,Edit content in place without navigating to a separate edit screen or modal,small,low,efficiency,Notion inline editing letting you click any text and immediately start typing,What takes too long?
39,Remember Preferences,small,Persist user choices across sessions so they never have to re-configure,small,low,retention,YouTube remembering playback speed and quality preferences across every video,What's the thing users do manually that we could remember/automate?
40,Loading Skeletons,small,Skeleton screens showing content shape during loading for perceived instant performance,small,low,engagement,Facebook shimmer loading placeholders making feed loads feel instantaneous,What takes too long?
