Store Name,Region,Aliases
SM Megamall,NCR,"Megamall|SM Mega|MEGAMALL"
SM North EDSA,NCR,"SM North|North EDSA|SM NORTH"
SM Manila,NCR,"Manila|SM MLA"
SM Southmall,NCR,"Southmall|South Mall|SM SOUTH"
Greenhills,NCR,"Greenhills Shopping Center|GH"
Glorietta,NCR,"Glorietta Mall|GLLO"
Robinsons Galleria Ortigas,NCR,"Galleria Ortigas|Rob Galleria|GALLERIA ORTIGAS"
SM Valenzuela,NCR,"Valenzuela|SM VAL"
Gateway,NCR,"Gateway Mall|Araneta Gateway"
J & M COMPUTER SOFTWARE TRADING,NCR,"J&M|J & M|LS"
REG'S FONE GADGETS AND ACCESSORIES SHOP- LS,NCR,"REG'S FONE|REGS FONE|LS"
REG'S FONE GADGETS AND ACCESSORIES SHOP_LSKiosk,NCR,""
SM Bacoor,SLZ,"Bacoor|SM BACOOR"
Sta. Lucia East Grand Mall,SLZ,"Sta Lucia|STA LUCIA|East Grand Mall"
Robinsons Place Lipa,SLZ,"Rob Lipa|Robinsons Lipa|LIPA"
Robinsons Galleria South,SLZ,"Galleria South|Rob Galleria South|GALLERIA SOUTH"
Pacific Mall Lucena,SLZ,"Lucena|Pacific Lucena|PACIFIC LUCENA"
Target Mall Sta Rosa,SLZ,"Sta Rosa|Target Sta Rosa|STA ROSA"
LOPEZBILLS E-LOAD AND SIMCARDS TRADING,SLZ,"LOPEZBILLS|LOPEZ BILLS"
SM Marilao,CLZ,"Marilao|SM MARILAO"
SM Mega Center Cabanatuan,CLZ,"Cabanatuan|Mega Cabanatuan|SM CABANATUAN"
Marquee Mall,CLZ,"Marquee|Angeles|MARQUEE ANGELES"
Robinsons Townsville Cabanatuan,CLZ,"Townsville|Rob Cabanatuan|CABANATUAN"
YANA'S GADGETS ENTERPRISES,CLZ,"YANA'S|YANA GADGETS|INLINE MARIA AURORA"
J.P CONCEPCION CELLSHOPPE CORP.-LS,CLZ,"JP CONCEPCION|CONCEPCION|LS"
"GOLD KARSON MARKETING, INC.",CLZ,"GOLD KARSON|KARSON"
ALPHARUS ENTERPRISES_LS,CLZ,"ALPHARUS|ALPHARUS LS"
SM Baguio,NLZ,"Baguio|SM BAGUIO"
PROGRESSIVE WIRELESS COMMUNICATION-LS,NLZ,"PROGRESSIVE|PROGRESSIVE LS"
Robinsons Galleria Cebu,EVIS,"Galleria Cebu|Rob Cebu|GALLERIA CEBU"
SM City Cebu,EVIS,"Cebu|SM CEBU"
Alturas Mall Bohol,EVIS,"Bohol|Alturas Bohol|ALTURAS"
Robinsons Tacloban,EVIS,"Tacloban|Rob Tacloban|TACLOBAN"
JY CELLPHONE AND ACCESSORIES-LS-INLINE,EVIS,"JY CELLPHONE|JY|LS-INPPE CORP-LS"
RGG BAYAD..EXPRESS BUSINESS CENTER- LS,EVIS,"RCG BAYAD|RCG|LS"
JM TECH CELLULAR ACCESSORIES- LS,EVIS,"JM TECH|JMTECH|LS"
"JMAGS SHOP, INC.-LS",EVIS,"JMAGS|JMAGS SHOP|LS"
KAJAKA COMMUNICATION AND GADGETS INC_LS,EVIS,"KAJAKA|KAJAKA COMM|LS"
Ayala Capitol Central,WVIS,"Capitol Central|Bacolod Capitol|BACOLOD"
SM Iloilo,WVIS,"Iloilo|SM ILOILO"
SUPREME TELECOM OPC,WVIS,"SUPREME|SUPREME TELECOM"
Ayala Centrio CDO,MIN,"Centrio|CDO Centrio|CENTRIO CDO"
SM Ecoland,MIN,"Ecoland|Davao Ecoland|SM ECOLAND"
SM Lanang,MIN,"Lanang|Davao Lanang|SM LANANG"
SM Gensan,MIN,"Gensan|General Santos|SM GENSAN"
Gaisano Mall of Tagum,MIN,"Tagum|Gaisano Tagum|TAGUM"
Robinsons Butuan,MIN,"Butuan|Rob Butuan|BUTUAN"
Robinsons Iligan,MIN,"Iligan|Rob Iligan|ILIGAN"
KAREN AND JAY MARKETING_KIOSK,MIN,"KAREN JAY|KAREN AND JAY|KIOSK"
DIGILIFE GADGETS & DEVICES-LS,MIN,"DIGILIFE|DIGI LIFE|LS"
Udenna Tower,Others,"UDENNA|Udenna"
AVICOM ENTERPRISES-LS,SLZ,"AVICOM|AVICOM LS"
